,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
133,Warner Robins,4229476,75,US,1580072562,46,32.62,-83.6,60.01,5.82
134,Port-Gentil,2396518,40,GA,1580072761,94,-0.72,8.78,80.6,5.82
135,Airai,1651810,32,TL,1580072762,92,-8.93,125.41,67.48,2.13
136,Raudeberg,3146487,75,NO,1580072765,81,61.99,5.14,48.2,23.04
137,Saint-Philippe,935215,90,RE,1580072766,78,-21.36,55.77,75.2,8.05
138,Honningsvag,779554,90,NO,1580072767,79,70.98,25.97,23.0,26.4
139,Paamiut,3421193,100,GL,1580072584,67,61.99,-49.67,17.06,20.22
140,High Level,5975004,40,CA,1580072770,100,58.52,-117.14,14.0,5.82
141,Kaoma,913323,12,ZM,1580072771,88,-14.78,24.8,65.55,4.23
142,Beysehir,321191,80,TR,1580072772,60,37.68,31.72,31.42,1.03
143,Port Alfred,964432,28,ZA,1580072774,79,-33.59,26.89,63.0,7.0
144,Geraldton,2070998,33,AU,1580072775,93,-28.77,114.6,62.6,1.12
145,Hong Kong,1819729,40,HK,1580072702,76,22.29,114.16,55.0,13.87
146,Strai,3131178,75,NO,1580072778,93,58.2,7.9,45.0,17.22
147,Mossamedes,3347019,0,AO,1580072779,77,-15.2,12.15,75.06,8.3
148,Tall Kayf,303750,0,TR,1580072780,74,37.08,41.07,33.8,8.05
149,Gerash,133595,0,IR,1580072781,87,27.67,54.14,44.6,3.83
150,Chui,3443061,64,UY,1580072784,65,-33.7,-53.46,79.88,9.13
151,Castro,3466704,0,BR,1580072785,48,-24.79,-50.01,79.25,0.81
152,Kursk,538560,75,RU,1580072786,69,51.73,36.19,35.6,20.13
153,Asau,686090,0,RO,1580072788,69,46.43,26.4,34.0,5.82
154,Weihe,7372400,99,CN,1580072789,89,33.0,105.32,27.48,1.81
155,Dalvik,2632287,100,IS,1580072790,92,65.97,-18.53,26.6,14.99
156,Lyngdal,3146684,75,NO,1580072791,93,58.14,7.07,45.0,17.22
157,Teguise,2510573,20,ES,1580072792,67,29.06,-13.56,62.6,6.93
158,Port Blair,1259385,89,IN,1580072534,63,11.67,92.75,77.2,10.78
159,Shatsk,495532,100,RU,1580072795,94,54.03,41.71,28.4,18.68
160,Sitka,5557293,90,US,1580072796,81,57.05,-135.33,42.8,8.05
161,Xapuri,3924674,40,BR,1580072797,56,-10.65,-68.5,95.0,10.29
162,Jalu,86049,75,LY,1580072798,35,29.03,21.55,56.08,7.74
163,Coyhaique,3894426,1,CL,1580072800,34,-45.58,-72.07,66.2,11.41
164,Pangody,1495626,75,RU,1580072801,99,65.85,74.49,-7.62,4.47
165,Maumere,1635815,32,ID,1580072802,84,-8.62,122.21,78.01,3.29
166,Nizhniy Kuranakh,2019135,99,RU,1580072803,95,58.84,125.49,9.5,5.93
167,Kieta,2094027,100,PG,1580072804,77,-6.22,155.63,80.65,5.5
168,Cap Malheureux,934649,40,MU,1580072806,83,-19.98,57.61,77.0,11.41
169,Naze,1855540,75,JP,1580072807,100,28.37,129.48,69.8,13.87
170,Mildura,2157698,0,AU,1580072809,63,-34.2,142.15,64.0,9.17
171,Sao Filipe,3374210,0,CV,1580072812,66,14.9,-24.5,73.83,12.91
172,Kharan,1174062,12,PK,1580072813,60,28.58,65.42,54.45,13.96
173,Ostrovnoy,556268,77,RU,1580072814,98,68.05,39.51,-0.85,11.36
174,Bambous Virieux,1106677,40,MU,1580072815,83,-20.34,57.76,77.0,11.41
